Instrument: CHI Instruments 760E
Technique: Cyclic Voltammetry
Sample: DEMO-NiMo-01
Potential/V,Current/A
-0.200,-0.00120
-0.150,-0.00093
-0.100,-0.00062
-0.050,-0.00031
0.000,0.00002
0.050,0.00036
0.100,0.00073
0.150,0.00113
0.200,0.00158
0.250,0.00210
0.300,0.00272
0.350,0.00350
0.400,0.00445
0.450,0.00562
0.500,0.00705
0.450,0.00531
0.400,0.00396
0.350,0.00288
0.300,0.00201
0.250,0.00131
0.200,0.00075
0.150,0.00030
0.100,-0.00005
0.050,-0.00034
0.000,-0.00058
-0.050,-0.00079
-0.100,-0.00097
-0.150,-0.00112
-0.200,-0.00120
